Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,run_time,check_CE
CaE,balance,DBCE,DBCE,0,0,42.56789645,435.7561777,9.94E-06,2.93E-05,FALSE,2.024114609,15.00527304
CaE,balance,DBCE,DBCE,0,1,1.726786726,475.4057963,9.47E-06,0.000516273,FALSE,3.17606163,0.006027307
CaE,balance,DBCE,DBCE,0,2,22.63796893,596.8437358,0.387054814,0.000815153,FALSE,4.475614071,0.000819318
CaE,balance,DBCE,DBCE,0,3,23.46955165,409.5191669,9.81E-06,0.000806931,FALSE,5.455994606,0.001354546
CaE,balance,DBCE,DBCE,0,4,0.387506762,855.3349044,0.783625554,0.000823813,FALSE,7.091151237,0.000828448
CaE,balance,DBCE,DBCE,0,5,0.408827759,985.586685,1.05917608,0.002368864,FALSE,8.254070282,0.00237343
CaE,balance,DBCE,DBCE,0,6,23.38978288,447.9449231,0.079963028,0.000910989,FALSE,9.420975685,0.003447117
CaE,balance,DBCE,DBCE,0,7,23.27145398,415.8830795,0.012114124,0.00082111,FALSE,10.33752608,0.002617241
CaE,balance,DBCE,DBCE,0,8,23.30133042,410.2006731,0.000397363,0.000818951,FALSE,11.13639116,0.000843017
CaE,balance,DBCE,DBCE,0,9,17.19221483,449.3751158,0.045245357,2.14967028,FALSE,12.30427003,2.17436341
CaE,balance,DBCE,DBCE,0,10,23.32686141,409.940244,9.40E-06,0.000824469,FALSE,13.07222152,0.002625219
CaE,balance,DBCE,DBCE,0,11,1.840037912,2794.991775,4.829148434,0.000872744,FALSE,13.91598129,0.012582371
CaE,balance,DBCE,DBCE,0,12,23.34882774,409.8757035,9.41E-06,0.000830717,FALSE,14.63705587,0.00083383
CaE,balance,DBCE,DBCE,0,13,0.757172901,487.1467127,0.018359038,0.000873364,FALSE,15.99445629,0.012641182
CaE,balance,DBCE,DBCE,0,14,0.031725805,561.3530831,0.172302878,0.000838737,FALSE,16.91302156,0.04107379
CaE,balance,DBCE,DBCE,0,15,0.539871616,2546.729224,4.305851461,0.001424073,FALSE,18.20359039,0.00142858
CaE,balance,DBCE,DBCE,0,16,351.3507359,2922.632397,5.408522805,0.316226213,FALSE,19.55637288,0.320167415
CaE,balance,DBCE,DBCE,0,17,23.3807873,410.4251531,0.005799152,0.000850127,FALSE,20.64848232,0.016935196
CaE,balance,DBCE,DBCE,0,18,19.40343312,2664.543246,30.15377267,0.000857302,FALSE,22.11060333,0.469277844
CaE,balance,DBCE,DBCE,0,19,23.09181581,410.633968,9.37E-06,0.000855837,FALSE,22.91644979,0.000858843
CaE,balance,DBCE,DBCE,0,20,23.39097333,415.8473977,0.079521704,0.000858751,FALSE,23.81558728,0.009632538
CaE,balance,DBCE,DBCE,0,21,23.10611689,410.6750095,0.000986512,0.000863087,FALSE,24.75763011,0.002847724
CaE,balance,DBCE,DBCE,0,22,0.001538531,487.5115222,0.108729859,0.000865011,FALSE,26.26363802,0.000869404
CaE,balance,DBCE,DBCE,0,23,20.39342971,704.4360695,3.807912518,0.004446327,FALSE,27.1542716,0.004480459
CaE,balance,DBCE,DBCE,0,24,22.05965516,427.1926919,0.181881924,0.00087282,FALSE,28.08083439,0.000875667
CaE,balance,DBCE,DBCE,0,25,23.4126386,409.8784007,9.10E-06,0.000875436,FALSE,28.79695725,0.015995732
CaE,balance,DBCE,DBCE,0,26,21.76028303,418.2415886,0.049211661,0.000879948,FALSE,29.85014915,0.00088152
CaE,balance,DBCE,DBCE,0,27,23.43241068,409.8170766,9.42E-06,0.000879111,FALSE,30.54132795,0.013372754
CaE,balance,DBCE,DBCE,0,28,9.239379763,459.8386146,0.063951138,0.042834586,FALSE,31.85184765,0.04285659
CaE,balance,DBCE,DBCE,0,29,0.010437079,354.5611282,9.55E-06,0.000885707,FALSE,33.00476694,1.583587113
CaE,balance,DBCE,DBCE,0,30,0.037161265,368.0737344,8.71E-06,0.0008438,FALSE,34.40901399,0.723994475
CaE,balance,DBCE,DBCE,0,31,3.289084247,368.6168425,4.75E-05,0.000809391,FALSE,35.44524479,2.527347158
CaE,balance,DBCE,DBCE,0,32,3.346895117,368.8035331,3.59E-05,0.000772938,FALSE,36.61312389,1.593992299
CaE,balance,DBCE,DBCE,0,33,1.308743765,364.0116041,0.06391317,0.000742662,FALSE,37.95754528,0.00070986
CaE,balance,DBCE,DBCE,0,34,3.324951399,369.6044776,4.34E-05,0.000706359,FALSE,39.1164937,0.466919961
CaE,balance,DBCE,DBCE,0,35,6.660035369,2101.59857,110.8760722,246.5028632,FALSE,40.67834258,240.7212082
CaE,balance,DBCE,DBCE,0,36,704.2649382,20992.32893,2064.219711,12409.14967,FALSE,41.52958465,10851.07898
CaE,balance,DBCE,DBCE,0,37,0.462811573,369.676295,9.30E-06,0.00062151,FALSE,43.02809691,1.24646601
CaE,balance,DBCE,DBCE,0,38,0.967948961,370.1585653,6.56E-06,0.000735208,FALSE,45.21481395,0.000719921
CaE,balance,DBCE,DBCE,0,39,2.41962484,370.4791033,1.07E-05,0.000589103,FALSE,46.84346128,0.972526502
CaE,balance,DBCE,DBCE,0,40,0.724974446,370.9407545,0.001534229,0.000575055,FALSE,47.90063405,0.816538657
CaE,balance,DBCE,DBCE,0,41,1.634626673,371.7753341,9.48E-06,0.000564866,FALSE,49.61458969,0.555661902
