Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,run_time,check_CE
FairGamble,MDCE,DBCE,DBCE,0,0,0.855262439,0,1.784455814,0.146472155,FALSE,2.255741119,9.949264959
FairGamble,MDCE,DBCE,DBCE,0,1,49.62012973,0,0.002590459,0.000471341,FALSE,4.52321291,27.99623521
FairGamble,MDCE,DBCE,DBCE,0,2,46.20462215,0,0.306168147,0.023049591,FALSE,6.469048262,2.247908439
FairGamble,MDCE,DBCE,DBCE,0,3,0.345903864,0,0.138450194,0.007780097,FALSE,8.936454535,0.146225215
FairGamble,MDCE,DBCE,DBCE,0,4,0.264810286,0,0.060952153,0.005593665,FALSE,9.90789485,0.077005876
FairGamble,MDCE,DBCE,DBCE,0,5,0.250515924,0,0.001475828,9.97E-05,FALSE,10.47936749,0.403026861
FairGamble,MDCE,DBCE,DBCE,0,6,0.250483917,0,0.001378676,9.31E-05,FALSE,11.0558269,0.045714845
FairGamble,MDCE,DBCE,DBCE,0,7,0.250461244,0,0.001309855,8.85E-05,TRUE,11.76518774,0.410601408
FairGamble,MDCE,DBCE,DBCE,0,8,0.250476774,0,0.001357016,0.000122521,FALSE,12.28280449,0.262257307
FairGamble,MDCE,DBCE,DBCE,0,9,0.250456632,0,0.001300368,0.000120309,FALSE,14.56567407,0.203827515
FairGamble,MDCE,DBCE,DBCE,0,10,0.250472682,0,0.001344614,0.000121144,FALSE,16.68617749,0.100183964
FairGamble,MDCE,DBCE,DBCE,0,11,0.250509144,0,0.001455271,0.000131946,TRUE,17.39129353,0.096343569
FairGamble,MDCE,DBCE,DBCE,0,12,0.250561385,0,0.001613882,0.000146222,FALSE,18.53684783,0.125474358
FairGamble,MDCE,DBCE,DBCE,0,13,0.250596821,0,0.00172218,0.000156012,FALSE,19.10247016,0.238256957
FairGamble,MDCE,DBCE,DBCE,0,14,0.250560876,0,0.001612294,0.000146491,FALSE,20.23300457,0.099303284
FairGamble,MDCE,DBCE,DBCE,0,15,0.250993661,0,0.002925897,0.000209437,FALSE,20.87488961,0.104816969
FairGamble,MDCE,DBCE,DBCE,0,16,0.250789379,0,0.002305867,0.000210872,FALSE,21.58288646,0.461484105
FairGamble,MDCE,DBCE,DBCE,0,17,0.25087662,0,0.002570833,0.000234791,FALSE,22.29400754,0.759715558
FairGamble,MDCE,DBCE,DBCE,0,18,0.251453042,0,0.003699096,0.000214194,FALSE,23.22053361,0.27564794
FairGamble,MDCE,DBCE,DBCE,0,19,0.250914485,0,0.002580831,0.000176415,FALSE,24.66224098,0.098929617
FairGamble,MDCE,DBCE,DBCE,0,20,0.251405051,0,0.00417504,0.000236618,FALSE,26.20635152,0.167806861
FairGamble,MDCE,DBCE,DBCE,0,21,0.263944476,0,0.031935248,0.002969109,FALSE,28.12721848,0.014151505
FairGamble,MDCE,DBCE,DBCE,0,22,0.250567647,0,0.001632913,0.00015386,FALSE,29.99326038,0.341571784
FairGamble,MDCE,DBCE,DBCE,0,23,0.250941401,0,0.002742472,0.000186085,FALSE,31.94604182,0.31201798
FairGamble,MDCE,DBCE,DBCE,0,24,0.273623856,0,0.054168518,0.002638799,FALSE,32.84364319,0.081156657
FairGamble,MDCE,DBCE,DBCE,0,25,0.250824637,0,0.001731932,0.000121923,FALSE,33.84496737,0.351318323
FairGamble,MDCE,DBCE,DBCE,0,26,0.344618459,0,0.010026217,0.000586281,FALSE,34.91766596,0.445864006
FairGamble,MDCE,DBCE,DBCE,0,27,0.439416213,0,0.002713842,0.000176014,FALSE,35.59293485,0.315577461
FairGamble,MDCE,DBCE,DBCE,0,28,0.464202504,0,0.001584413,0.000112,FALSE,36.87008548,0.172598382
FairGamble,MDCE,DBCE,DBCE,0,29,0.476358442,0,0.007593973,0.00368813,FALSE,39.11444879,0.12728385
FairGamble,MDCE,DBCE,DBCE,0,30,0.480129689,0,0.030268845,0.001717333,FALSE,39.93780708,0.055224303
FairGamble,MDCE,DBCE,DBCE,0,31,0.451390495,0,0.002772446,0.000189503,FALSE,41.46776104,0.078397346
FairGamble,MDCE,DBCE,DBCE,0,32,0.443738714,0,0.00156699,0.000110949,FALSE,42.94285488,0.046479955
FairGamble,MDCE,DBCE,DBCE,0,33,0.438491236,0,0.002601607,0.000170344,FALSE,44.62093997,0.026042637
FairGamble,MDCE,DBCE,DBCE,0,34,0.422094824,0,0.001911008,0.000134052,FALSE,45.12160206,0.062852726
FairGamble,MDCE,DBCE,DBCE,0,35,0.412376779,0,0.001535894,0.000108794,FALSE,46.48299313,0.011849514
FairGamble,MDCE,DBCE,DBCE,0,36,0.400531049,0,0.001529174,0.000108339,FALSE,47.94710612,0.024858877
FairGamble,MDCE,DBCE,DBCE,0,37,0.393884864,0,0.00155355,0.000108062,FALSE,49.17236972,0.043313336
FairGamble,MDCE,DBCE,DBCE,0,38,0.381030453,0,0.001552753,0.000109974,FALSE,50.5577004,0.036791826
FairGamble,MDCE,DBCE,DBCE,0,39,0.373567563,0,0.001566699,0.000111055,FALSE,51.51518512,0.027658773
FairGamble,MDCE,DBCE,DBCE,0,40,0.367907188,0,0.002789998,0.000189307,FALSE,53.06211472,0.055468873
FairGamble,MDCE,DBCE,DBCE,0,41,0.389972466,0,0.054392068,0.002634193,FALSE,53.75764275,0.178823202
FairGamble,MDCE,DBCE,DBCE,0,42,0.356689983,0,0.002134422,0.00014855,FALSE,54.5209198,0.105069089
FairGamble,MDCE,DBCE,DBCE,0,43,0.357733194,0,0.017269956,0.001056566,FALSE,55.5382297,0.082451645
FairGamble,MDCE,DBCE,DBCE,0,44,0.337594899,0,0.001804046,0.000126112,FALSE,56.299824,0.078056264
FairGamble,MDCE,DBCE,DBCE,0,45,0.340287646,0,0.019285726,0.001062551,FALSE,57.42493677,0.086811995
FairGamble,MDCE,DBCE,DBCE,0,46,0.328082495,0,0.001996319,0.000138761,FALSE,58.70204544,0.086175774
FairGamble,MDCE,DBCE,DBCE,0,47,0.324823077,0,0.00278127,0.000183541,FALSE,60.45052838,0.131416096
