Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,run_time,check_CE
Hunt,value-10,DBCE,DBCE,0,0,0.17213917,341.2540034,0.000105162,0.025110794,FALSE,1.45704627,0.668048985
Hunt,value-10,DBCE,DBCE,0,1,4.677541739,294.672307,0.003128457,0.000388432,FALSE,2.273070335,0.000459485
Hunt,value-10,DBCE,DBCE,0,2,5.889894064,273.7789145,0.000131791,0.00045949,FALSE,3.209568024,0.000459522
Hunt,value-10,DBCE,DBCE,0,3,2.962583101,302.9392602,1.16E-06,0.000459481,FALSE,3.925961971,0.000459382
Hunt,value-10,DBCE,DBCE,0,4,5.868674849,273.9454507,3.13E-05,0.000459474,FALSE,4.666262865,0.000459293
Hunt,value-10,DBCE,DBCE,0,5,5.877995388,273.8800333,4.66E-07,0.000459206,FALSE,5.827160358,0.000459374
Hunt,value-10,DBCE,DBCE,0,6,3.128115389,301.2392599,1.08E-06,0.00045937,FALSE,6.414590836,0.000459494
Hunt,value-10,DBCE,DBCE,0,7,5.924069659,273.3715289,4.73E-07,0.000459501,FALSE,7.815022945,0.000459262
Hunt,value-10,DBCE,DBCE,0,8,1.518625188,314.0599888,6.92E-07,0.000462322,FALSE,8.672478676,0.717976248
Hunt,value-10,DBCE,DBCE,0,9,3.253803892,5320.963905,44.35706201,0.002297916,FALSE,10.03886127,0.17221734
Hunt,value-10,DBCE,DBCE,0,10,5.928631395,273.3280983,4.73E-07,0.000462533,FALSE,11.14317083,0.000462273
Hunt,value-10,DBCE,DBCE,0,11,4.469370543,289.7319889,0.011977245,0.000465907,FALSE,12.22787333,0.000465926
Hunt,value-10,DBCE,DBCE,0,12,6.033762444,272.3203776,6.90E-06,0.000462292,FALSE,13.32945752,0.000462035
Hunt,value-10,DBCE,DBCE,0,13,2.084366783,311.2992526,0.001509632,0.00331419,FALSE,14.62004161,0.122751167
Hunt,value-10,DBCE,DBCE,0,14,8.092969671,252.4055663,6.60E-05,0.066079837,FALSE,15.42294908,0.90635042
Hunt,value-10,DBCE,DBCE,0,15,12.18284158,209.1517846,1.50E-06,0.001020327,FALSE,16.26118207,0.00129942
Hunt,value-10,DBCE,DBCE,0,16,14.85908773,184.6773062,1.54E-06,0.00107748,FALSE,17.11492944,1.537117485
Hunt,value-10,DBCE,DBCE,0,17,12.89925032,201.6323522,0.00060101,0.019699458,FALSE,18.40736747,0.002207542
Hunt,value-10,DBCE,DBCE,0,18,16.48060801,168.2581057,2.29E-06,0.001925462,FALSE,19.08256316,4.513195475
Hunt,value-10,DBCE,DBCE,0,19,2.637071391,295.274475,0.002349782,0.024435055,FALSE,20.21656179,1.11426724
Hunt,value-10,DBCE,DBCE,0,20,9.651290286,232.2157511,3.51E-06,0.002262165,FALSE,21.37549376,0.002539434
Hunt,value-10,DBCE,DBCE,0,21,16.62443879,165.6781195,3.31E-06,0.002644692,FALSE,22.44917655,4.466003436
Hunt,value-10,DBCE,DBCE,0,22,11.81290756,209.3445446,1.00E-05,0.002552421,FALSE,23.43653822,4.170151725
Hunt,value-10,DBCE,DBCE,0,23,16.88387173,162.3841823,4.74E-06,0.003729624,FALSE,24.53313947,3.584976468
Hunt,value-10,DBCE,DBCE,0,24,9.226640383,238.1627643,0.004100645,0.010612743,FALSE,26.67871094,1.05052752
Hunt,value-10,DBCE,DBCE,0,25,16.65498814,164.1449075,4.91E-06,0.004780495,FALSE,27.83464718,3.361905067
Hunt,value-10,DBCE,DBCE,0,26,5.935002274,278.6636607,0.258032642,0.066665841,FALSE,29.82632446,0.256379125
Hunt,value-10,DBCE,DBCE,0,27,2.387363587,297.0823953,0.000851429,0.006888545,FALSE,31.21269226,0.188805254
Hunt,value-10,DBCE,DBCE,0,28,17.6941596,153.7754579,4.66E-06,0.004845622,FALSE,32.37512732,2.451654857
Hunt,value-10,DBCE,DBCE,0,29,18.041391,150.2060128,5.50E-06,0.005474851,FALSE,33.6748271,2.465125059
Hunt,value-10,DBCE,DBCE,0,30,17.4907898,155.1248686,8.90E-06,0.007178922,FALSE,35.47554851,2.090590827
Hunt,value-10,DBCE,DBCE,0,31,17.38789212,160.707147,7.41E-06,0.00622849,FALSE,36.40910363,1.032775199
Hunt,value-10,DBCE,DBCE,0,32,17.60326916,160.8475317,6.83E-06,0.006948388,FALSE,38.7344234,0.733557818
Hunt,value-10,DBCE,DBCE,0,33,15.99554386,180.9315294,3.46E-06,0.003112133,FALSE,39.81505013,0.294983095
Hunt,value-10,DBCE,DBCE,0,34,6.320541624,417.8577066,1.323568979,8.600613285,FALSE,41.0028801,8.913233296
Hunt,value-10,DBCE,DBCE,0,35,17.50956585,161.7449246,8.09E-06,0.007241403,FALSE,42.04045725,0.720210028
Hunt,value-10,DBCE,DBCE,0,36,15.8386276,184.18889,2.84E-06,0.002618336,FALSE,43.18117285,0.332196138
Hunt,value-10,DBCE,DBCE,0,37,15.33479419,190.4756024,0.00110451,0.005941704,FALSE,44.25231051,0.099252976
Hunt,value-10,DBCE,DBCE,0,38,16.22222387,181.1427842,2.56E-06,0.002386959,FALSE,45.83333349,0.182170275
Hunt,value-10,DBCE,DBCE,0,39,16.13470034,182.3813278,2.14E-06,0.002274249,FALSE,46.9712925,0.189423719
Hunt,value-10,DBCE,DBCE,0,40,9.996534181,241.4507881,1.10E-05,0.002127218,FALSE,48.5938921,0.016368986
Hunt,value-10,DBCE,DBCE,0,41,16.99222178,175.3371531,0.000901277,0.00444047,FALSE,50.26664519,0.08164212
Hunt,value-10,DBCE,DBCE,0,42,13.64652355,209.6998533,0.000403002,0.002040767,FALSE,51.33781195,0.003514187
Hunt,value-10,DBCE,DBCE,0,43,17.34779372,172.5080003,1.85E-06,0.002000832,FALSE,52.15163708,0.084156705
Hunt,value-10,DBCE,DBCE,0,44,10.69179494,235.388382,0.000188743,0.00196485,FALSE,54.39489579,0.002969
Hunt,value-10,DBCE,DBCE,0,45,15.99902248,186.0444693,2.37E-06,0.001965783,FALSE,56.53754854,0.036116225
Hunt,value-10,DBCE,DBCE,0,46,16.79796093,178.1146821,2.13E-06,0.001925048,FALSE,58.18817115,0.043972658
Hunt,value-10,DBCE,DBCE,0,47,17.36329992,172.5742762,1.83E-05,0.001867474,FALSE,59.72843814,0.083665398
Hunt,value-10,DBCE,DBCE,0,48,17.52902602,171.2916473,4.90E-06,0.001769756,TRUE,60.734833,0.034290082
Hunt,value-10,DBCE,DBCE,0,49,17.57423085,171.0207222,1.61E-06,0.001742328,FALSE,62.10417366,0.026657735
Hunt,value-10,DBCE,DBCE,0,50,17.61690571,170.7524962,2.09E-06,0.001701489,TRUE,62.96635652,0.025984925
Hunt,value-10,DBCE,DBCE,0,51,16.87788188,179.0270919,1.64E-06,0.00166656,FALSE,65.21813679,0.001755426
Hunt,value-10,DBCE,DBCE,0,52,12.22429322,221.9976797,0.01348133,0.033257472,FALSE,66.64787745,0.077469506
Hunt,value-10,DBCE,DBCE,0,53,17.19526884,173.9056262,2.02E-06,0.001605956,FALSE,67.49962711,0.039368387
Hunt,value-10,DBCE,DBCE,0,54,17.25399775,173.5503467,1.54E-06,0.001550443,TRUE,68.34835863,0.09354703
Hunt,value-10,DBCE,DBCE,0,55,16.50730706,181.9356312,2.01E-06,0.001475517,FALSE,69.28488088,0.001477705
Hunt,value-10,DBCE,DBCE,0,56,16.50127969,182.0165576,1.44E-06,0.001442821,TRUE,70.28353143,0.007736129
Hunt,value-10,DBCE,DBCE,0,57,17.29100664,173.407691,1.28E-06,0.001405698,FALSE,71.22002888,0.006981802
Hunt,value-10,DBCE,DBCE,0,58,16.72087182,179.3288578,1.41E-06,0.001387489,FALSE,72.50464368,0.016036301
Hunt,value-10,DBCE,DBCE,0,59,17.28660975,173.4922837,1.24E-06,0.001357682,FALSE,73.70895958,0.02212642
